Order,Published,Title
1,11/1961,Fantastic Four (1961) #1
2,01/1962,Fantastic Four (1961) #2
4,03/1962,Fantastic Four (1961) #3
5,05/1962,Fantastic Four (1961) #4
12,07/1962,Fantastic Four (1961) #5
17,09/1962,Fantastic Four (1961) #6
20,10/1962,Fantastic Four (1961) #7
21,10/1962,Strange Tales (1951) #101
24,11/1962,Strange Tales (1951) #102
27,11/1962,Fantastic Four (1961) #8
29,12/1962,Strange Tales (1951) #103
30,12/1962,Fantastic Four (1961) #9
37,01/1963,Fantastic Four (1961) #10
39,02/1963,Strange Tales (1951) #105
41,02/1963,Fantastic Four (1961) #11 [B Story]
42,02/1963,Fantastic Four (1961) #11 [A Story]
44,03/1963,Strange Tales (1951) #106
45,04/1963,Strange Tales (1951) #107
46,03/1963,Fantastic Four (1961) #12
53,03/1963,Amazing Spider-Man (1963) #1 [B Story]
59,04/1963,Fantastic Four (1961) #13
63,05/1963,Fantastic Four (1961) #14
67,07/1963,Amazing Spider-Man (1963) #3
68,06/1963,Strange Tales (1951) #109
71,07/1963,Strange Tales (1951) #110 [A Story]
76,06/1963,Fantastic Four (1961) #15
77,08/1963,Strange Tales (1951) #111 [A Story]
79,07/1963,Fantastic Four (1961) #16
80,08/1963,Fantastic Four (1961) #17
84,09/1963,Fantastic Four (1961) #18
87,10/1963,Amazing Spider-Man (1963) #5
88,09/1963,Strange Tales (1951) #112
89,10/1963,Strange Tales Annual (1962) #2
90,07/1963,Fantastic Four Annual (1963) #1 [A Story]
91,07/1963,Fantastic Four Annual (1963) #1 [B Story]
94,09/1963,Avengers (1963) #1
98,10/1963,Fantastic Four (1961) #19
103,11/1963,Strange Tales (1951) #114 [A Story]
105,11/1963,Fantastic Four (1961) #20
114,12/1963,Strange Tales (1951) #115 [A Story]
116,12/1963,Fantastic Four (1961) #21
121,01/1964,Strange Tales (1951) #116 [A Story]
124,01/1964,Amazing Spider-Man (1963) #8 [B Story]
139,01/1964,Avengers (1963) #3
